"Article","Web Description","Brand","DQ Score"
"435083","Cake Décor Hundreds and Thousands","Cake Decor",0.88
"435084","Cake Décor Chocolatey Strands","Cake Decor",0.88
"435085","Cake Décor Pink Glimmer Sugar","Cake Decor",0.88
"435086","Cake Décor Micro Mallows","Cake Decor",0.88
"435087","Cake Décor Glitter Spray Gold","Cake Decor",0.88
"435088","Cake Décor Glitter Spray Silver","Cake Decor",0.88
"435089","Cake Décor Bright Writing Icing 4pk","Cake Decor",0.88
"435090","Cake Décor Choco Writers White","Cake Decor",0.88
"435091","Cake Décor Choco Writers Milk","Cake Decor",0.88
"435092","Cake Décor Ready To Roll Icing White","Cake Decor",0.88
"435093","Cake Décor Ready To Roll Icing Red","Cake Decor",0.88
"435094","Cake Décor Ready To Roll Icing Pink","Cake Decor",0.88
"319126","Storage Jar Clip-Top Glass 70ml","Kilner",0.95
"451708","Kitchen Craft Icing Bottles 2pk","Kitchen Kraft",0.81
"451712","Kitchen Craft Gift Tags Home Made Slogan","Kitchen Kraft",0.81
"451713","Kitchen Craft Jam Jar Gift Tags Home Made Slogan24pk","Kitchen Kraft",0.95
"451715","Kitchen Craft Home Made Self-Adhesive Chutney JarLabels Roll of 100","Kitchen Kraft",0.88
"451716","Kitchen Craft Self Adhesive Jam Jar Labels Pack of100 Assorted","Kitchen Kraft",0.95
"453040","Kitchen Craft Flavour and Marinade Injector","Kitchen Kraft",0.81
"302282","Tala Icing Bag Set with 8 Nozzles","Wilko",0.95
"282378","Wilko Clear Measure Jug 1L","Wilko Functional",0.95
"941140","Wilko Mixing Bowl Polypropylene Medium Clear","Wilko Functional",0.95
"941340","Wilko Mixing Bowl Polypropylene Large","Wilko Functional",0.95
